date,new,cumulative,doubleFlagTest,doubleFlagLabel,shaded
2020-01-15,2,2,1,,18
2020-01-16,0,2,1,,
2020-01-17,0,2,0,,
2020-01-18,0,2,0,,
2020-01-19,0,2,0,,
2020-01-20,0,2,0,,
2020-01-21,1,3,0,,
2020-01-22,2,5,1,,
2020-01-23,0,5,0,,
2020-01-24,2,7,0,,
2020-01-25,0,7,0,,
2020-01-26,0,7,0,,
2020-01-27,1,8,0,,
2020-01-28,0,8,0,,
2020-01-29,0,8,0,,
2020-01-30,0,8,0,,
2020-01-31,0,8,0,,
2020-02-01,3,11,1,,
2020-02-02,0,11,0,,
2020-02-03,0,11,0,,
2020-02-04,0,11,0,,
2020-02-05,1,12,0,,
2020-02-06,0,12,0,,
2020-02-07,1,13,0,,
2020-02-08,1,14,0,,
2020-02-09,1,15,0,,
2020-02-10,2,17,0,,
2020-02-11,0,17,0,,
2020-02-12,0,17,0,,
2020-02-13,2,19,0,,
2020-02-14,4,23,1,,
2020-02-15,4,27,0,,
2020-02-16,3,30,0,,
2020-02-17,1,31,0,,
2020-02-18,1,32,0,,
2020-02-19,1,33,0,,
2020-02-20,7,40,0,,
2020-02-21,3,43,0,,
2020-02-22,8,51,1,,
2020-02-23,10,61,0,,
2020-02-24,11,72,0,,
2020-02-25,10,82,0,,
2020-02-26,5,87,0,,
2020-02-27,12,99,0,,
2020-02-28,17,116,1,,
2020-02-29,24,140,0,,
2020-03-01,43,183,0,,
2020-03-02,37,220,0,,
2020-03-03,46,266,1,,
2020-03-04,45,311,0,,
2020-03-05,55,366,0,,
2020-03-06,69,435,0,,
2020-03-07,81,516,0,,
2020-03-08,110,626,1,,
2020-03-09,191,817,0,,
2020-03-10,221,1038,0,,
2020-03-11,249,1287,1,,
2020-03-12,313,1600,0,,
2020-03-13,376,1976,0,,
2020-03-14,366,2342,0,,
2020-03-15,466,2808,1,,
2020-03-16,641,3449,0,,
2020-03-17,684,4133,0,,
2020-03-18,801,4934,0,,
2020-03-19,647,5581,0,,
2020-03-20,774,6355,1,,
2020-03-21,688,7043,0,,
2020-03-22,631,7674,0,,
2020-03-23,779,8453,0,,
2020-03-24,686,9139,0,,
2020-03-25,684,9823,0,,
2020-03-26,614,10437,0,,
2020-03-27,632,11069,0,,
2020-03-28,607,11676,0,,
2020-03-29,477,12153,0,,
2020-03-30,627,12780,1,,
2020-03-31,482,13262,0,,
2020-04-01,630,13892,0,,
2020-04-02,514,14406,0,,
2020-04-03,591,14997,0,,
2020-04-04,473,15470,0,,
2020-04-05,468,15938,0,,
2020-04-06,598,16536,0,,
2020-04-07,614,17150,0,,
2020-04-08,616,17766,0,,
2020-04-09,684,18450,0,,
2020-04-10,776,19226,0,,
2020-04-11,728,19954,0,,
2020-04-12,648,20602,0,,
2020-04-13,1043,21645,0,,
2020-04-14,856,22501,0,,
2020-04-15,955,23456,0,,
2020-04-16,889,24345,0,,
2020-04-17,930,25275,0,,
2020-04-18,772,26047,1,,
2020-04-19,524,26571,0,,
2020-04-20,782,27353,0,,
2020-04-21,586,27939,0,,
2020-04-22,650,28589,0,,
2020-04-23,640,29229,0,,
2020-04-24,575,29804,0,,
2020-04-25,562,30366,1,,
2020-04-26,494,30860,0,,
2020-04-27,660,31520,0,,
2020-04-28,580,32100,0,,
2020-04-29,547,32647,0,,
2020-04-30,483,33130,0,,
2020-05-01,475,33605,0,,
2020-05-02,348,33953,0,,
2020-05-03,313,34266,0,,
2020-05-04,352,34618,0,,
2020-05-05,398,35016,0,,
2020-05-06,317,35333,0,,
2020-05-07,369,35702,0,,
2020-05-08,390,36092,0,,
2020-05-09,291,36383,0,,
2020-05-10,214,36597,0,,
2020-05-11,374,36971,0,,
2020-05-12,306,37277,0,,
2020-05-13,284,37561,0,,
2020-05-14,303,37864,0,,
2020-05-15,379,38243,0,,
2020-05-16,261,38504,0,,
2020-05-17,208,38712,0,,
2020-05-18,159,38871,0,,
2020-05-19,206,39077,0,,
2020-05-20,60,39137,0,,
2020-05-21,2,39139,,,
