date,new,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,internationalTravel,infopending,cumulative,doubleFlagTest,shaded
2020-01-15,1,0,0,0,1,0,1,1,14
2020-01-16,0,0,0,0,0,0,1,1,
2020-01-17,0,0,0,0,0,0,1,0,
2020-01-18,0,0,0,0,0,0,1,0,
2020-01-19,0,0,0,0,0,0,1,0,
2020-01-20,0,0,0,0,0,0,1,0,
2020-01-21,1,0,0,0,1,0,2,1,
2020-01-22,2,0,0,0,2,0,4,1,
2020-01-23,0,0,0,0,0,0,4,0,
2020-01-24,2,0,0,0,2,0,6,0,
2020-01-25,0,0,0,0,0,0,6,0,
2020-01-26,0,0,0,0,0,0,6,0,
2020-01-27,1,1,0,0,0,0,7,0,
2020-01-28,0,0,0,0,0,0,7,0,
2020-01-29,0,0,0,0,0,0,7,0,
2020-01-30,0,0,0,0,0,0,7,0,
2020-01-31,0,0,0,0,0,0,7,0,
2020-02-01,3,0,0,1,1,1,10,1,
2020-02-02,0,0,0,0,0,0,10,0,
2020-02-03,1,0,0,1,0,0,11,0,
2020-02-04,2,0,0,2,0,0,13,0,
2020-02-05,2,0,0,1,1,0,15,0,
2020-02-06,0,0,0,0,0,0,15,0,
2020-02-07,1,1,0,0,0,0,16,0,
2020-02-08,0,0,0,0,0,0,16,0,
2020-02-09,1,0,0,0,1,0,17,0,
2020-02-10,2,0,0,1,1,0,19,0,
2020-02-11,0,0,0,0,0,0,19,0,
2020-02-12,1,0,0,1,0,0,20,1,
2020-02-13,1,0,0,0,1,0,21,0,
2020-02-14,4,0,0,1,2,1,25,0,
2020-02-15,2,1,0,0,1,0,27,0,
2020-02-16,1,0,0,0,1,0,28,0,
2020-02-17,1,0,0,0,1,0,29,0,
2020-02-18,3,3,0,0,0,0,32,0,
2020-02-19,3,1,0,1,1,0,35,0,
2020-02-20,6,1,0,2,2,0,41,1,
2020-02-21,2,1,0,0,1,0,43,0,
2020-02-22,5,1,0,2,2,0,48,0,
2020-02-23,16,7,0,3,6,0,64,0,
2020-02-24,14,3,0,4,7,0,78,0,
2020-02-25,16,5,0,2,9,0,94,1,
2020-02-26,12,6,1,3,2,0,106,0,
2020-02-27,24,13,0,6,5,0,130,0,
2020-02-28,36,19,0,6,11,0,166,0,
2020-02-29,27,10,0,5,11,1,193,1,
2020-03-01,48,11,0,13,20,4,241,0,
2020-03-02,47,8,0,12,27,0,288,0,
2020-03-03,50,14,0,10,26,0,338,0,
2020-03-04,47,10,1,8,26,2,385,0,
2020-03-05,62,14,1,19,28,0,447,1,
2020-03-06,80,17,0,28,34,1,527,0,
2020-03-07,88,16,4,26,41,1,615,0,
2020-03-08,131,32,3,32,55,7,746,0,
2020-03-09,220,68,10,54,86,2,966,1,
2020-03-10,252,67,8,63,109,5,1218,0,
2020-03-11,294,83,11,73,119,8,1512,0,
2020-03-12,381,107,7,115,142,10,1893,0,
2020-03-13,450,127,10,150,149,12,2343,1,
2020-03-14,458,105,10,174,153,11,2801,0,
2020-03-15,589,159,11,195,203,17,3390,0,
2020-03-16,823,265,8,289,238,19,4213,0,
2020-03-17,844,273,17,291,233,27,5057,1,
2020-03-18,945,280,18,335,267,33,6002,0,
2020-03-19,799,250,13,290,206,31,6801,0,
2020-03-20,981,341,20,381,196,36,7782,0,
2020-03-21,858,302,8,303,210,26,8640,0,
2020-03-22,827,316,14,305,167,22,9467,0,
2020-03-23,998,428,15,378,137,37,10465,1,
2020-03-24,897,365,21,328,135,39,11362,0,
2020-03-25,905,418,9,331,95,45,12267,0,
2020-03-26,823,388,9,282,94,42,13090,0,
2020-03-27,907,430,8,322,66,71,13997,0,
2020-03-28,890,426,7,313,70,63,14887,0,
2020-03-29,799,430,9,270,42,42,15686,0,
2020-03-30,1032,527,12,346,53,88,16718,0,
2020-03-31,870,474,5,257,57,73,17588,0,
2020-04-01,1200,701,12,310,72,96,18788,0,
2020-04-02,1055,674,7,243,38,90,19843,0,
2020-04-03,1258,818,8,271,51,108,21101,1,
2020-04-04,1089,699,7,247,29,106,22190,0,
2020-04-05,1018,642,5,255,14,101,23208,0,
2020-04-06,1318,790,11,375,11,126,24526,0,
2020-04-07,1183,719,13,308,11,130,25709,0,
2020-04-08,1314,810,10,348,3,142,27023,0,
2020-04-09,1374,825,14,387,5,140,28397,0,
2020-04-10,1594,943,19,439,3,189,29991,0,
2020-04-11,1540,859,11,453,4,212,31531,0,
2020-04-12,1392,776,16,399,0,199,32923,0,
2020-04-13,1931,998,32,612,6,281,34854,0,
2020-04-14,1690,942,21,521,2,203,36544,0,
2020-04-15,1793,995,21,488,4,281,38337,0,
2020-04-16,1835,939,18,642,1,233,40172,0,
2020-04-17,1796,928,17,582,3,265,41968,0,
2020-04-18,1609,936,21,445,3,202,43577,1,
2020-04-19,1201,670,15,364,4,146,44778,0,
2020-04-20,1783,967,11,600,2,201,46561,0,
2020-04-21,1402,731,13,489,4,163,47963,0,
2020-04-22,1467,797,12,515,2,140,49430,0,
2020-04-23,1500,786,20,537,1,155,50930,0,
2020-04-24,1473,780,10,543,1,137,52403,0,
2020-04-25,1352,715,15,515,3,100,53755,0,
2020-04-26,1281,720,13,446,3,99,55036,0,
2020-04-27,1635,833,11,622,5,163,56671,0,
2020-04-28,1430,814,19,477,6,113,58101,0,
2020-04-29,1389,693,4,575,2,115,59490,0,
