date,new,NTotal_ExposureOnly,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,internationalTravel,infopending,cumulative,doubleFlagTest,shaded
2020-01-15,1,1,0,0,0,1,0,1,1,14
2020-01-16,0,0,0,0,0,0,0,1,1,
2020-01-17,0,0,0,0,0,0,0,1,1,
2020-01-18,0,0,0,0,0,0,0,1,1,
2020-01-19,0,0,0,0,0,0,0,1,1,
2020-01-20,0,0,0,0,0,0,0,1,1,
2020-01-21,1,1,0,0,0,1,0,2,1,
2020-01-22,2,2,0,0,0,2,0,4,1,
2020-01-23,0,0,0,0,0,0,0,4,1,
2020-01-24,2,2,0,0,0,2,0,6,1,
2020-01-25,0,0,0,0,0,0,0,6,1,
2020-01-26,0,0,0,0,0,0,0,6,1,
2020-01-27,1,1,1,0,0,0,0,7,1,
2020-01-28,0,0,0,0,0,0,0,7,1,
2020-01-29,0,0,0,0,0,0,0,7,1,
2020-01-30,0,0,0,0,0,0,0,7,1,
2020-01-31,0,0,0,0,0,0,0,7,1,
2020-02-01,2,2,0,0,1,1,0,9,1,
2020-02-02,0,0,0,0,0,0,0,9,1,
2020-02-03,1,1,0,0,1,0,0,10,1,
2020-02-04,2,2,0,0,2,0,0,12,1,
2020-02-05,2,2,0,0,1,1,0,14,1,
2020-02-06,0,0,0,0,0,0,0,14,1,
2020-02-07,1,1,1,0,0,0,0,15,1,
2020-02-08,0,0,0,0,0,0,0,15,1,
2020-02-09,1,1,0,0,0,1,0,16,1,
2020-02-10,2,2,0,0,1,1,0,18,1,
2020-02-11,0,0,0,0,0,0,0,18,1,
2020-02-12,1,1,0,0,1,0,0,19,1,
2020-02-13,1,1,0,0,0,1,0,20,1,
2020-02-14,4,4,0,0,1,2,1,24,1,
2020-02-15,2,2,1,0,0,1,0,26,1,
2020-02-16,1,1,0,0,0,1,0,27,1,
2020-02-17,1,1,0,0,0,1,0,28,1,
2020-02-18,3,3,3,0,0,0,0,31,1,
2020-02-19,3,3,1,0,1,1,0,34,1,
2020-02-20,6,6,1,1,2,2,0,40,1,
2020-02-21,2,2,1,0,0,1,0,42,1,
2020-02-22,5,5,1,0,2,2,0,47,1,
2020-02-23,16,16,7,0,3,6,0,63,1,
2020-02-24,14,14,3,0,4,7,0,77,1,
2020-02-25,16,16,5,0,2,9,0,93,1,
2020-02-26,12,12,6,1,3,2,0,105,1,
2020-02-27,23,23,12,0,6,5,0,128,1,
2020-02-28,36,36,19,0,6,11,0,164,1,
2020-02-29,27,27,10,0,5,11,1,191,1,
2020-03-01,48,48,11,0,12,21,4,239,1,
2020-03-02,47,47,8,0,10,29,0,286,1,
2020-03-03,50,50,14,0,10,26,0,336,1,
2020-03-04,47,47,10,1,8,26,2,383,1,
2020-03-05,62,62,14,1,19,28,0,445,1,
2020-03-06,81,81,17,0,28,34,2,526,1,
2020-03-07,88,88,16,4,26,41,1,614,1,
2020-03-08,131,129,32,3,32,55,7,745,1,
2020-03-09,220,220,68,10,54,86,2,965,1,
2020-03-10,253,253,67,8,63,110,5,1218,1,
2020-03-11,296,296,83,11,75,119,8,1514,1,
2020-03-12,381,381,106,6,116,143,10,1895,1,
